workshop_type,slug_auto,gender
dc,2018-09-13-edinburgh,NA
swc,2018-09-22-UTA,NA
dc,2018-09-13-edinburgh,NA
dc,2018-09-13-edinburgh,NA
swc,2018-09-22-emory,Female
swc,2018-09-22-UTA,Female
swc,2018-09-24-CERTH,NA
swc,2018-09-24-koper,NA
swc,2018-09-24-Imperial,NA
dc,2018-09-13-edinburgh,NA
swc,2018-09-22-UTA,Female
swc,2018-09-22-emory,NA
dc,2018-09-29-tamu-kingsville,Female
swc,2018-09-24-koper,NA
dc,2018-09-12-new_england_tribes_USGS,Female
dc,2018-09-19-nwu-library-week,NA
swc,2018-09-24-koper,NA
swc,2018-09-24-koper,NA
swc,2018-09-22-UTA,Male
dc,2018-09-19-nwu-library-week,NA
swc,2018-09-22-UTA,Female
swc,2018-09-22-emory,Male
swc,2018-09-24-Imperial,NA
dc,2018-09-12-new_england_tribes_USGS,Male
swc,2018-09-24-koper,NA
dc,2018-09-13-edinburgh,NA
swc,2018-09-24-koper,NA
swc,[workshop,NA
dc,2018-09-19-nwu-library-week,NA
dc,2018-09-27-ukzn,NA
dc,Swansea-2018-09-20,NA
dc,2018-09-27-ukzn,NA
dc,2018-09-27-ukzn,NA
dc,2018-09-10-jax,Female
dc,2018-09-10-jax,Female
dc,Swansea-2018-09-20,NA
swc,2018-09-24-Imperial,NA
swc,2017-02-16-rc-days,NA
swc,2017-02-16-rc-days,Male
swc,2018-09-24-koper,NA
swc,2018-10-01-UW-swc,Female
swc,2018-09-21-sc,NA
swc,2018-09-24-koper,NA
swc,2018-10-05-UCSF-Python,Male
dc,2018-09-27-ukzn,NA
swc,[workshop,NA
swc,2018-09-22-emory,Female
dc,2018-09-27-ukzn,NA
swc,2018-09-24-CERTH,NA
dc,2018-09-12-new_england_tribes_USGS,Male
dc,2018-10-25-wsu,NA
swc,2018-09-22-UTA,NA
swc,[workshop,NA
dc,2018-09-13-edinburgh,NA
swc,2018-10-01-UW-swc,Female
dc,Swansea-2018-09-20,NA
dc,2018-09-19-nwu-library-week,NA
dc,2018-09-13-edinburgh,NA
dc,2018-09-10-jax,Female
swc,2018-09-21-sc,NA
swc,2016-07-18-usq,NA
dc,2018-09-27-ukzn,NA
dc,2018-09-13-edinburgh,NA
dc,2018-09-10-utoronto,NA
dc,2018-09-29-tamu-kingsville,Male
swc,2018-09-21-sc,NA
dc,2018-09-12-new_england_tribes_USGS,Male
dc,NA,NA
dc,2018-09-13-edinburgh,NA
swc,2018-09-22-emory,Female
swc,2018-09-22-emory,Male
swc,2018-09-22-emory,Female
swc,2018-09-22-emory,Female
swc,2018-09-24-CERTH,NA
dc,2018-10-25-wsu,NA
dc,2018-09-27-ukzn,NA
dc,2018-09-19-nwu-library-week,NA
dc,2018-09-27-ukzn,NA
swc,2018-09-21-sc,Male
swc,2018-09-24-Imperial,NA
dc,2018-09-10-utoronto,NA
swc,2018-09-24-koper,NA
swc,2018-10-01-UW-swc,NA
swc,2018-09-22-emory,NA
dc,2018-09-19-nwu-library-week,NA
swc,2017-02-16-rc-days,Male
swc,2018-09-24-CERTH,NA
dc,2018-09-27-ukzn,NA
dc,2018-09-13-edinburgh,NA
dc,2018-09-13-edinburgh,NA
swc,2018-09-24-Imperial,NA
dc,2018-09-12-new_england_tribes_USGS,Male
swc,2018-09-24-koper,NA
swc,2018-09-22-UTA,Female
swc,2018-09-24-Imperial,NA
swc,2018-10-01-UW-dc,Female
swc,2018-09-22-UTA,Male
dc,2018-09-13-edinburgh,NA
dc,2018-09-13-edinburgh,NA
swc,2018-10-05-UCSF-Python,NA
dc,2018-09-19-nwu-library-week,NA
swc,2018-09-24-koper,NA
dc,2018-09-27-ukzn,NA
swc,2018-09-24-koper,NA
dc,2018-09-12-new_england_tribes_USGS,Female
swc,2018-09-24-Imperial,NA
dc,2018-09-13-edinburgh,NA
dc,2018-09-10-utoronto,NA
swc,2018-09-24-Imperial,NA
swc,2018-09-24-koper,NA
dc,Swansea-2018-09-20,NA
dc,2018-09-27-ukzn,NA
swc,2018-09-21-sc,NA
swc,2018-10-01-UW-swc,"I am a cisgender female. I'm just selecting this option so that I can ask you not classify ""female"" and ""transgender female"" as two separate genders. However I do appreciate that you have included ""gender variant/non-conforming"" as an option."
swc,2018-09-24-koper,NA
swc,2018-09-22-emory,Male
dc,2018-09-10-utoronto,NA
dc,2018-09-27-ukzn,NA
dc,Swansea-2018-09-20,NA
swc,2018-10-01-UW-swc,Male
dc,2018-09-13-edinburgh,NA
dc,Swansea-2018-09-20,NA
dc,2018-09-29-tamu-kingsville,NA
swc,2017-02-16-rc-days,NA
dc,2018-09-13-edinburgh,NA
swc,2018-09-24-CERTH,NA
swc,2017-02-16-rc-days,Male
dc,2018-09-27-ukzn,NA
dc,2018-10-01-UW-dc,NA
swc,2018-09-24-python,NA
dc,Swansea-2018-09-20,NA
dc,2018-09-12-new_england_tribes_USGS,Male
dc,2018-09-13-edinburgh,NA
dc,2018-09-10-utoronto,NA
swc,2018-09-20-illinois,Female
dc,2018-09-13-edinburgh,NA
dc,2018-09-10-jax,NA
swc,2018-09-24-koper,NA
dc,2018-09-13-edinburgh,NA
dc,2018-09-13-edinburgh,NA
dc,Swansea-2018-09-20,NA
dc,2018-09-10-jax,NA
dc,Swansea-2018-09-20,NA
swc,2018-09-22-UTA,Male
swc,2018-10-01-UW-swc,Male
dc,2018-09-27-ukzn,NA
swc,2018-09-24-koper,NA
dc,2018-09-24-cambridge,NA
dc,2018-09-13-edinburgh,NA
dc,2018-09-13-edinburgh,NA
dc,2018-09-13-edinburgh,NA
swc,2018-09-24-Imperial,NA
swc,2018-09-24-koper,NA
dc,2018-09-19-nwu-library-week,NA
swc,2018-09-24-CERTH,NA
swc,2018-09-22-UTA,Male
swc,[workshop,NA
dc,2018-09-27-ukzn,NA
dc,2018-09-03-DC-Wollo,NA
swc,2018-09-24-Imperial,NA
dc,2018-09-13-edinburgh,NA
swc,2018-10-01-UW-swc,Male
swc,2018-10-08-Stonybrook-IACS-Python,Female
swc,2018-09-22-emory,Male
dc,2018-09-13-edinburgh,NA
dc,2018-09-29-tamu-kingsville,Male
dc,2018-09-13-edinburgh,NA
swc,2018-11-14-mcgill,NA
swc,2018-09-21-sc,NA
swc,2018-09-21-sc,Male
dc,2018-09-27-ukzn,NA
swc,2018-09-24-koper,NA
dc,2018-09-13-edinburgh,NA
dc,2018-09-10-jax,Male
dc,2018-09-29-tamu-kingsville,NA
dc,2018-09-13-edinburgh,NA
swc,2018-09-24-koper,NA
swc,2018-09-24-koper,NA
swc,2018-09-24-Imperial,NA
swc,[workshop,NA
dc,2018-09-13-edinburgh,NA
dc,2018-09-13-edinburgh,NA
dc,2018-09-12-new_england_tribes_USGS,Male
swc,2018-09-22-emory,Female
swc,2018-09-24-koper,NA
swc,2018-09-24-CERTH,NA
swc,2018-09-24-Imperial,NA
dc,2018-09-27-ukzn,NA
dc,Swansea-2018-09-20,NA
swc,2018-09-24-koper,NA
dc,Swansea-2018-09-20,NA
dc,2018-09-19-nwu-library-week,NA
dc,2018-09-27-ukzn,NA
dc,2018-09-27-ukzn,NA
swc,2018-09-21-sc,Female
swc,2018-10-01-UW-swc,Male
swc,2017-02-16-rc-days,Male
dc,2018-09-29-tamu-kingsville,NA
swc,2018-09-22-UTA,NA
swc,2018-09-22-emory,Male
