workshop_type,slug_auto,os
dc,2018-09-27-ukzn,Windows
dc,2018-09-27-ukzn,Windows
swc,2018-09-24-koper,NA
dc,NA,NA
swc,[workshop,NA
swc,2018-09-24-koper,Apple/Mac OS/UNIX
swc,[workshop,NA
swc,2018-09-21-sc,NA
swc,2018-10-05-UCSF-Python,Apple/Mac OS/UNIX
swc,2018-09-24-Imperial,NA
swc,2018-09-24-koper,NA
swc,2018-10-01-UW-swc,Windows
swc,2018-09-24-Imperial,NA
dc,2018-09-13-edinburgh,Apple/Mac OS/UNIX
dc,2018-09-13-edinburgh,Windows
swc,2018-09-21-sc,Apple/Mac OS/UNIX
swc,2018-09-22-UTA,Windows
swc,2018-09-22-emory,Windows
dc,2018-09-19-nwu-library-week,Windows
dc,2018-09-10-utoronto,Apple/Mac OS/UNIX
dc,Swansea-2018-09-20,Apple/Mac OS/UNIX
dc,2018-09-27-ukzn,Apple/Mac OS/UNIX
dc,2018-09-12-new_england_tribes_USGS,Windows
dc,2018-09-10-utoronto,Apple/Mac OS/UNIX
swc,2018-09-24-koper,NA
dc,2018-09-24-cambridge,Windows
swc,2017-02-16-rc-days,Windows
dc,2018-09-13-edinburgh,Windows
swc,2018-09-24-CERTH,NA
dc,2018-09-10-jax,Apple/Mac OS/UNIX
swc,2018-10-05-UCSF-Python,Apple/Mac OS/UNIX
dc,2018-09-12-new_england_tribes_USGS,Windows
swc,2018-09-24-CERTH,Windows
dc,2018-09-13-edinburgh,Apple/Mac OS/UNIX
dc,Swansea-2018-09-20,Windows
dc,2018-09-13-edinburgh,Windows
swc,2018-09-24-CERTH,Apple/Mac OS/UNIX
swc,[workshop,Apple/Mac OS/UNIX
swc,2018-09-22-emory,Windows
swc,2018-09-22-UTA,NA
swc,[workshop,Windows
dc,2018-09-27-ukzn,Windows
swc,2018-09-22-emory,NA
swc,2018-10-01-UW-swc,Apple/Mac OS/UNIX
swc,2018-09-24-CERTH,Linux
dc,2018-09-12-new_england_tribes_USGS,Windows
dc,2018-09-19-nwu-library-week,Windows
swc,2018-09-21-sc,NA
dc,2018-09-13-edinburgh,Windows
dc,2018-09-29-tamu-kingsville,NA
swc,2018-10-08-Stonybrook-IACS-Python,Windows
dc,2018-09-13-edinburgh,Windows
dc,2018-09-27-ukzn,Windows
dc,2018-09-13-edinburgh,Windows
swc,2018-09-24-Imperial,Windows
dc,2018-09-13-edinburgh,Windows
dc,2018-09-27-ukzn,Windows
dc,2018-09-13-edinburgh,Windows
dc,Swansea-2018-09-20,Linux
dc,2018-09-27-ukzn,Windows
swc,2018-10-01-UW-swc,Apple/Mac OS/UNIX
swc,2018-09-24-koper,Not sure
swc,2018-10-01-UW-swc,NA
dc,2018-09-10-jax,Windows
dc,2018-09-13-edinburgh,Apple/Mac OS/UNIX
dc,2018-09-12-new_england_tribes_USGS,Windows
dc,Swansea-2018-09-20,Windows
dc,Swansea-2018-09-20,Windows
swc,2017-02-16-rc-days,NA
dc,2018-09-29-tamu-kingsville,NA
swc,2018-09-22-emory,NA
dc,2018-09-27-ukzn,NA
dc,Swansea-2018-09-20,Windows
dc,2018-09-10-utoronto,Windows
swc,2018-09-24-Imperial,NA
swc,2018-09-24-Imperial,Apple/Mac OS/UNIX
swc,2018-09-24-koper,Windows
dc,2018-09-29-tamu-kingsville,Windows
dc,2018-09-13-edinburgh,Apple/Mac OS/UNIX
swc,2018-09-24-koper,NA
swc,2018-09-24-Imperial,NA
swc,2018-09-20-illinois,Linux
dc,2018-09-29-tamu-kingsville,NA
swc,2018-09-24-koper,Apple/Mac OS/UNIX
swc,2018-09-21-sc,Windows
dc,2018-09-13-edinburgh,Windows
dc,2018-09-19-nwu-library-week,Windows
dc,2018-09-27-ukzn,Windows
swc,2018-09-24-Imperial,NA
dc,2018-09-13-edinburgh,Windows
swc,2018-10-01-UW-swc,Windows
dc,2018-09-13-edinburgh,NA
dc,2018-09-13-edinburgh,Windows
dc,2018-09-12-new_england_tribes_USGS,Windows
dc,2018-09-19-nwu-library-week,Windows
dc,2018-09-27-ukzn,Windows
dc,2018-09-19-nwu-library-week,NA
dc,Swansea-2018-09-20,Apple/Mac OS/UNIX
dc,2018-09-13-edinburgh,Apple/Mac OS/UNIX
dc,2018-09-13-edinburgh,Windows
swc,2018-09-24-koper,Apple/Mac OS/UNIX
dc,2018-09-27-ukzn,Windows
dc,2018-09-10-jax,Windows
swc,2018-09-22-UTA,Apple/Mac OS/UNIX
swc,2018-10-01-UW-swc,Windows
swc,2018-09-22-emory,Windows
swc,2018-09-22-UTA,Windows
dc,2018-09-19-nwu-library-week,Windows
dc,2018-10-25-wsu,NA
swc,2018-09-24-koper,Linux
dc,2018-09-13-edinburgh,NA
swc,2018-09-24-Imperial,Apple/Mac OS/UNIX
swc,2018-09-24-koper,Apple/Mac OS/UNIX
swc,2017-02-16-rc-days,Windows
dc,2018-10-25-wsu,NA
swc,2018-09-22-emory,Apple/Mac OS/UNIX
swc,2018-09-22-UTA,Windows
swc,2018-09-24-CERTH,Apple/Mac OS/UNIX
dc,2018-09-13-edinburgh,Apple/Mac OS/UNIX
swc,2018-09-24-Imperial,NA
swc,2018-10-01-UW-dc,Apple/Mac OS/UNIX
swc,2018-09-24-Imperial,Apple/Mac OS/UNIX
dc,2018-09-10-jax,Windows
swc,2018-09-24-Imperial,NA
swc,2018-09-24-Imperial,NA
dc,2018-09-13-edinburgh,Apple/Mac OS/UNIX
dc,2018-09-27-ukzn,Windows
swc,2018-09-24-koper,NA
swc,2018-09-22-emory,Apple/Mac OS/UNIX
swc,2018-09-24-koper,Apple/Mac OS/UNIX
dc,2018-09-29-tamu-kingsville,Windows
dc,2018-09-27-ukzn,Apple/Mac OS/UNIX
dc,2018-09-13-edinburgh,Windows
dc,2018-10-01-UW-dc,NA
dc,2018-09-13-edinburgh,Apple/Mac OS/UNIX
swc,2018-09-22-emory,Apple/Mac OS/UNIX
dc,2018-09-13-edinburgh,Windows
dc,2018-09-27-ukzn,Windows
dc,2018-09-29-tamu-kingsville,Windows
swc,2018-09-22-UTA,NA
dc,2018-09-13-edinburgh,Apple/Mac OS/UNIX
dc,2018-09-27-ukzn,Windows
swc,2018-09-22-UTA,Windows
swc,2018-09-24-koper,Windows
swc,2018-09-22-emory,Windows
swc,2018-09-22-emory,Apple/Mac OS/UNIX
swc,2018-10-01-UW-swc,Windows
dc,2018-09-19-nwu-library-week,Windows
swc,[workshop,NA
swc,2018-11-14-mcgill,Apple/Mac OS/UNIX
swc,2018-09-21-sc,NA
swc,2018-09-24-koper,Linux
swc,2018-09-24-koper,Linux
swc,2017-02-16-rc-days,Windows
swc,2018-09-24-python,NA
dc,2018-09-27-ukzn,Apple/Mac OS/UNIX
swc,2018-09-24-koper,Windows
swc,2018-09-22-UTA,Windows
swc,2017-02-16-rc-days,Windows
